,CG1,CG2,CG3,CG4,CG5,CG6,CG7,CG8,CG9,CG10,CG11
JCHAIN,118,101,178,107,207,72,133,115,181,140,87
JUP,0,0,118,0,0,20,180,0,0,0,22
KDM4C,0,0,0,0,0,1,0,0,0,0,0
KIF26B,0,0,0,0,0,0,1,0,0,0,0
KLK1,55,71,43,76,74,38,16,49,45,109,20
KLK10,0,0,20,0,0,0,0,0,0,0,0
KLK11,0,13,12,11,7,0,19,8,62,20,0
KLK12,0,0,14,0,2,0,0,0,7,0,0
KLK13,0,0,21,0,0,0,0,0,0,3,0
KNG1,0,3,13,0,0,0,3,0,0,11,5
KPRP,0,0,0,0,0,0,9,0,0,0,0
KRT1,99,127,254,114,226,134,276,57,149,168,270
KRT10,52,46,148,46,198,36,308,28,104,50,102
KRT12,0,0,2,0,0,0,3,0,0,2,6
KRT13,25,166,1935,10,106,531,722,30,17,182,624
KRT14,1,11,71,1,5,28,54,3,1,9,67
KRT15,0,0,6,0,0,1,0,0,0,0,1
KRT16,28,109,373,36,74,141,596,10,15,51,355
KRT17,0,2,7,0,0,5,8,0,0,0,24
KRT18,0,0,4,0,0,0,0,0,0,0,0
KRT19,0,1,18,0,1,0,0,0,0,0,0
KRT2,9,31,54,11,31,18,52,4,46,28,34
KRT20,0,0,0,0,0,1,0,0,0,0,0
KRT24,0,0,15,0,1,4,2,0,0,0,3
KRT25,0,0,1,0,0,0,0,0,0,0,0
KRT27,0,0,0,0,0,2,0,0,0,0,0
KRT3,0,0,24,0,0,2,12,0,1,0,10
KRT33B,0,0,0,0,0,0,1,0,0,0,0
KRT35,0,0,0,0,0,0,1,0,0,0,0
KRT36,0,0,0,0,0,1,24,0,0,0,0
KRT37,0,0,0,0,0,1,0,0,0,0,0
KRT4,169,445,6083,78,486,1171,1700,160,152,560,1832
KRT5,9,8,75,0,16,16,23,6,2,10,47
KRT6A,0,13,80,0,8,18,34,0,0,6,44
KRT6B,1,1,24,0,4,4,14,1,0,4,14
KRT6C,0,1,21,0,0,4,14,0,0,0,29
KRT7,0,0,3,0,0,0,0,0,0,0,0
KRT71,0,1,26,0,0,3,3,0,0,3,13
KRT72,0,0,2,0,1,0,2,0,0,0,0
KRT74,0,0,8,0,0,1,0,0,0,0,0
KRT75,0,0,3,0,0,0,1,0,0,0,4
KRT76,0,0,62,0,2,5,116,2,0,0,41
KRT77,0,2,8,0,0,2,0,0,0,4,2
KRT78,0,4,193,0,0,56,63,0,0,5,74
KRT79,0,0,1,0,0,0,0,0,0,0,0
KRT8,0,0,0,0,0,0,1,0,0,0,0
KRT80,0,0,1,0,0,0,0,0,0,0,2
KRT84,0,0,0,0,0,0,15,1,0,0,0
KRT9,103,112,220,93,168,37,141,38,138,175,108
LACRT,0,0,0,0,42,0,0,0,0,0,0
LAMP1,0,0,7,0,3,2,0,0,0,0,3
LAMP2,0,0,0,0,0,0,3,0,0,0,0
LASP1,0,0,0,0,0,0,14,0,0,0,0
LCN1,60,689,67,118,50,58,82,86,69,407,49
LCN2,24,92,67,18,52,88,110,26,37,87,67
LCP1,2,14,42,1,6,13,55,3,3,12,14
LDHA,6,23,75,0,12,5,17,5,4,16,19
LDHB,0,0,3,0,0,1,5,0,0,0,1
LDHC,0,0,0,0,0,1,1,0,0,0,0
LEG1,192,83,126,115,267,28,122,122,197,115,20
LGALS3,0,0,11,0,0,0,0,0,0,0,0
LGALS3BP,87,58,51,54,160,28,53,48,138,119,26
LGALS7,0,0,78,0,0,0,8,0,0,11,10
LILRA3,0,0,0,0,0,0,4,0,0,0,0
LILRB1,0,0,0,0,0,0,1,0,0,0,0
LMAN2,0,0,12,0,0,0,0,0,0,0,0
LMNA,0,9,150,0,7,18,13,0,0,19,27
LMNB1,0,0,15,0,2,2,7,1,0,1,2
LMNB2,0,0,4,0,0,0,0,0,0,0,0
LMO7,0,0,0,0,0,0,6,0,0,0,0
LPO,257,284,62,247,292,112,247,174,384,280,77
LRFN2,0,0,0,0,0,0,0,0,0,0,2
LRP1B,0,0,0,0,2,0,0,0,0,0,0
LSR,6,0,0,0,3,0,0,0,0,0,0
LTA4H,0,8,32,0,2,2,7,4,0,2,7
LTBP1,0,0,0,0,16,0,0,8,0,0,0
LTF,185,435,586,202,483,449,573,363,536,430,374
LY6D,9,7,19,0,15,13,10,8,6,11,34
LY6G6C,0,0,15,0,0,0,0,0,0,0,0
LYPD3,4,18,43,7,18,15,8,13,0,20,21
LYZ,936,381,544,815,1301,417,1285,1158,1092,596,419
M0QYG6,0,0,2,0,0,0,0,0,0,0,0
MACROH2A1,0,0,27,0,0,0,12,0,0,0,0
MAN1A1,0,0,0,0,0,0,0,0,3,0,0
MANBA,0,0,0,0,0,0,0,0,3,0,0
MARCKS,0,0,8,0,0,0,0,0,0,0,0
MDH1,0,0,5,0,4,0,0,0,0,2,0
MDH2,0,0,52,0,3,9,5,3,0,2,29
MDK,4,0,0,2,10,0,0,8,8,4,0
MGA,0,0,2,0,0,0,0,0,0,0,0
MGP,2,0,0,0,0,0,8,4,2,0,4
MIA3,0,0,0,0,0,0,0,0,0,0,4
MIF,0,0,0,0,0,0,4,0,0,0,0
MMP8,0,6,18,0,0,0,30,0,0,0,5
MMP9,0,31,45,0,10,25,108,6,0,14,24
MNDA,2,7,28,0,12,18,36,5,0,2,9
MPO,16,224,514,34,186,257,750,62,59,166,356
MSLN,0,8,0,0,0,0,3,0,0,8,0
MSN,2,26,132,0,23,72,171,11,0,13,94
MT-CO2,0,0,9,0,0,0,0,0,0,0,0
MUC16,0,0,2,0,0,0,0,0,0,0,0
MUC2,0,0,0,0,0,0,0,0,0,2,0
MUC5AC,0,2,0,0,0,0,2,0,0,0,0
MUC5B,192,723,696,174,414,515,1840,523,147,1130,558
MUC7,303,138,149,191,328,110,187,195,324,138,77
MVP,0,0,33,0,0,0,0,0,0,0,0
MYH11,0,0,0,0,0,0,1,0,0,0,0
MYH14,0,1,19,0,0,5,3,0,0,0,15
MYH9,18,38,340,0,68,222,596,22,14,12,366
MYL12A,0,0,14,0,6,5,14,3,0,0,7
MYL6,0,0,21,0,3,4,32,0,0,0,5
NACA,0,0,0,0,0,0,0,0,0,0,6
NAGK,0,0,26,0,0,0,5,0,0,0,0
NAMPT,0,0,36,0,0,0,10,0,0,0,0
NAP1L4,0,0,0,0,0,0,3,0,0,0,0
NCCRP1,0,2,26,0,0,4,7,0,0,2,9
NCF1,0,0,0,0,0,0,10,0,0,0,0
NCF4,0,0,0,0,0,2,7,0,0,0,0
NCKAP1,0,0,3,0,0,0,0,0,0,0,0
NDUFA9,0,0,1,0,0,0,0,0,0,0,0
NEFH,0,0,0,0,0,0,4,0,0,0,0
NEFM,0,0,5,0,0,0,0,0,0,0,0
NFS1,0,0,0,0,0,0,7,0,0,0,0
NIBAN2,0,0,13,0,0,0,4,0,0,0,3
NME1,0,0,39,0,0,0,3,0,0,0,0
NPC2,3,7,4,0,7,5,13,6,3,10,6
NPEPPS,0,0,38,0,0,0,5,0,0,0,4
NPM1,0,0,0,0,0,4,12,0,0,0,4
NT5C2,0,0,5,0,0,0,0,0,0,0,0
NUCB1,23,17,0,21,26,7,6,20,42,34,0
NUCB2,125,67,20,128,80,43,29,130,204,77,22
NUMA1,0,0,3,0,0,0,0,0,0,0,0
OAF,0,3,0,3,0,0,0,5,4,0,0
OLA1,0,0,5,0,0,0,0,0,0,0,0
OLFM4,0,0,0,0,2,0,0,4,0,3,0
ORM1,0,6,21,0,0,4,10,2,0,15,4
ORM2,1,0,0,0,0,0,0,0,0,3,0
OS9,4,0,0,0,10,0,0,0,0,0,0
P4HB,10,11,111,0,23,9,14,7,4,11,21
PA2G4,0,0,4,0,0,0,0,0,0,0,0
PABPC1,0,0,5,0,0,0,0,0,0,0,0
PADI1,0,0,5,0,0,0,0,0,0,0,0
PADI4,0,0,11,0,8,0,9,0,0,0,7
PAM,19,8,0,13,34,0,0,4,37,4,0
PARK7,0,0,3,0,0,0,0,0,0,0,0
PCBP1,0,0,9,0,0,0,11,0,0,0,6
PCBP2,0,0,1,0,0,0,1,0,0,0,0
PCYOX1,0,0,5,0,0,0,0,0,0,0,0
PDCD6,0,0,7,0,0,0,0,0,0,0,0
PDCD6IP,0,0,34,0,0,0,11,0,0,0,11
PDGFC,0,0,0,0,0,0,0,0,0,2,0
PDIA3,6,7,126,0,16,9,27,0,0,3,33
PDIA4,0,0,7,0,0,0,0,0,0,0,0
PDIA6,0,0,13,0,0,0,8,0,0,3,5
PDXK,0,0,4,0,0,0,0,0,0,0,0
PEBP1,0,3,16,0,2,0,0,3,0,8,10
PFKL,0,0,5,0,0,0,0,0,0,0,3
PFN1,15,94,118,24,34,77,162,23,26,72,60
PGAM1,3,22,59,0,8,21,33,12,2,7,45
PGD,6,33,207,2,25,57,100,11,9,30,53
PGK1,4,10,109,0,13,14,49,4,0,8,26
PGLYRP1,0,4,9,0,0,6,26,0,0,3,5
PGM1,0,0,3,0,0,0,3,0,0,0,0
PGM2,0,0,3,0,0,0,0,0,0,0,0
PHIP,0,0,2,0,0,0,0,0,0,0,0
PIGR,811,708,857,619,1063,361,717,738,900,884,321
PIP,445,384,401,457,455,322,475,310,552,328,185
PKM,1,18,137,0,15,22,90,2,0,18,50
PKP1,0,0,56,0,0,6,55,0,0,0,16
PKP3,0,0,24,0,0,3,4,0,0,0,5
PLA2G2A,0,7,0,0,0,0,4,0,0,0,2
PLBD1,0,0,4,0,0,0,22,0,0,0,6
PLEC,0,0,67,0,7,8,16,6,0,8,35
PLG,0,0,20,0,0,6,28,0,0,0,9
PLIN3,0,0,14,0,0,0,0,0,0,0,17
PLOD1,0,0,0,0,0,0,0,1,7,0,0
PLS3,0,0,17,0,10,2,4,10,0,0,2
PLTP,5,6,0,12,9,0,0,3,7,6,0
PNP,0,0,3,0,0,0,0,0,0,0,0
POF1B,0,0,0,0,0,0,4,0,0,0,5
PPIA,4,42,156,0,48,76,121,18,18,42,139
PPIB,31,32,33,19,8,27,11,18,31,39,18
PPL,6,18,325,0,10,94,244,2,0,40,155
PPP2R1A,0,0,11,0,0,0,3,0,0,0,0
PRB1,116,196,0,287,116,139,56,222,307,82,78
PRB2,134,161,0,205,75,127,133,167,180,0,25
PRB3,42,45,0,12,56,47,7,68,13,122,41
PRCP,0,0,0,0,0,0,20,3,0,0,3
PRDX1,0,3,70,1,9,10,20,0,0,10,16
PRDX2,2,0,12,0,0,2,0,0,0,3,1
PRDX4,0,3,0,5,0,0,0,3,12,5,0
PRDX5,0,9,23,0,5,7,11,0,2,7,16
PRDX6,0,0,34,0,3,0,13,0,0,2,4
PRKCSH,4,3,12,0,0,0,9,6,0,8,9
PRKDC,0,0,0,0,0,0,6,0,0,0,0
PROM1,7,0,0,2,8,0,0,0,2,3,0
PRPH,9,12,70,0,33,23,27,16,0,14,18
PRR4,0,0,0,0,0,0,0,0,0,26,0
PRSS8,22,0,31,3,16,3,8,9,0,14,0
PRTN3,0,28,43,0,18,50,137,17,2,28,25
PSAP,37,14,11,13,86,11,48,27,31,66,0
PSMA1,0,0,5,0,0,0,0,0,0,0,0
PSMA2,0,0,4,0,0,0,0,0,0,0,0
PSMA3,0,0,2,0,0,0,0,0,0,0,0
PSMA4,0,0,1,0,0,0,0,0,0,0,0
PSMA6,0,0,4,0,0,0,5,0,0,0,3
PSMA7,0,0,3,0,0,0,0,0,0,0,0
PSMB1,0,0,4,0,0,0,0,0,0,0,0
PSMB5,0,0,3,0,0,0,0,0,0,0,0
PSMB7,0,0,4,0,0,0,0,0,0,0,0
PSMC1,0,0,0,0,3,0,0,0,0,0,0
PSMD3,0,0,5,0,0,0,0,0,0,0,0
PSME1,0,0,6,0,0,0,2,0,0,0,5
PTGES3,0,0,0,0,0,2,6,0,0,0,2
PTGR1,0,0,4,0,0,0,0,0,0,0,0
PTMA,0,11,0,0,0,8,14,6,0,0,24
PTN,0,0,0,0,0,0,0,13,0,0,0
PTPRC,0,0,0,0,0,4,22,0,0,0,0
PUF60,0,0,4,0,0,0,0,0,0,0,0
PYGM,0,0,45,0,0,6,9,0,0,2,6
QSER1,0,0,3,0,0,0,0,0,0,0,0
QSOX1,18,16,13,14,26,0,0,15,20,29,0
RAB10,5,0,43,0,3,11,17,0,1,10,20
RAB11B,0,0,45,0,0,0,0,0,0,0,5
RAB14,0,0,0,0,0,0,0,0,0,0,2
RAB15,0,0,2,0,0,0,0,0,0,0,12
RAB1A,0,0,0,0,2,0,1,0,0,1,2
RAB25,0,0,8,0,0,0,0,0,0,0,0
RAB27A,0,0,7,0,0,0,0,0,0,0,0
RAB2A,0,0,9,0,0,0,0,0,0,0,0
RAB3D,1,0,1,0,1,1,0,0,0,2,0
RAB4B,0,0,0,0,0,0,0,0,1,0,0
RAB5A,0,0,16,0,0,0,9,0,0,0,7
RAB7A,0,0,29,0,0,0,3,0,0,0,0
RAC1,0,0,6,0,0,0,0,0,0,0,0
RAC2,0,8,56,0,0,0,9,0,0,0,2
RACK1,0,0,19,0,0,4,10,0,0,0,4
RALA,0,0,5,0,0,0,0,0,0,0,0
RAN,0,0,10,0,0,0,9,0,0,0,8
RAP1A,0,3,16,0,0,0,6,0,0,0,0
RAP1B,0,0,1,0,0,0,1,0,0,0,0
RARRES1,0,0,0,0,0,0,0,0,3,5,0
RASAL2,0,0,0,0,0,0,0,0,0,0,2
RETN,0,0,6,0,0,3,18,2,0,0,9
RHCG,0,0,50,0,0,0,10,0,0,0,0
RHOA,0,16,82,0,17,18,45,20,8,20,31
RHOC,0,0,1,0,0,0,0,0,0,0,0
RHOG,0,0,0,0,1,0,0,0,0,0,0
RNASE2,0,0,0,0,0,8,0,0,0,0,0
RNASE3,0,9,30,0,8,3,28,0,0,4,0
RNASE4,27,5,4,12,35,3,7,22,10,21,4
RNASET2,0,0,0,3,0,2,0,0,10,6,0
RNH1,0,0,22,0,4,8,21,0,0,0,17
RNPEP,0,0,4,0,0,0,0,0,0,0,0
RP2,0,0,0,0,0,0,2,0,0,0,0
RPL10,0,0,8,0,0,0,2,0,0,0,4
RPL10A,0,0,8,0,0,0,0,0,0,0,0
RPL11,0,0,10,0,0,0,5,0,0,0,6
RPL12,0,0,6,0,0,0,6,0,0,0,10
RPL13,0,0,15,0,0,2,6,0,0,0,6
RPL13A,0,0,6,0,0,0,0,0,0,0,0
RPL14,0,0,7,0,0,0,3,0,0,0,4
RPL15,0,0,6,0,0,0,3,0,0,0,0
RPL17-C18orf32,0,0,2,0,0,0,0,0,0,0,0
RPL18,0,2,21,0,0,9,11,0,0,0,15
RPL18A,0,0,6,0,0,0,0,0,0,0,0
RPL21,0,0,5,0,0,0,0,0,0,0,0
RPL22,0,0,3,0,0,0,0,0,0,0,0
RPL23,0,0,8,0,0,0,4,0,0,0,2
RPL23A,0,0,26,0,0,0,0,0,0,0,4
RPL24,0,0,17,0,0,0,7,0,0,0,8
RPL26,0,0,13,0,0,0,3,0,0,0,10
RPL27,0,0,17,0,0,0,0,0,0,0,0
RPL27A,0,0,14,0,0,10,10,0,0,0,8
RPL28,0,0,11,0,0,0,0,0,0,0,0
RPL29,0,0,2,0,0,0,0,0,0,0,0
RPL3,0,0,10,0,0,0,0,0,0,0,0
RPL30,0,0,0,0,0,0,0,0,0,0,25
RPL31,0,0,8,0,0,0,0,0,0,0,0
RPL32,0,0,3,0,0,0,0,0,0,0,0
RPL34,0,0,6,0,0,0,3,0,0,0,0
RPL35,0,0,8,0,0,0,6,0,0,0,0
RPL35A,0,0,2,0,0,0,0,0,0,0,0
RPL36A-HNRNPH2,0,0,4,0,0,0,0,0,0,0,3
RPL4,0,0,38,0,0,16,3,0,0,0,13
RPL5,0,0,9,0,0,0,0,0,0,0,2
RPL6,0,0,21,0,0,3,10,0,0,0,4
RPL7,0,0,37,0,0,3,9,0,0,0,0
RPL7A,0,0,27,0,0,5,8,0,0,0,7
RPL8,0,0,7,0,0,0,0,0,0,0,4
RPLP0,0,0,12,0,0,0,0,0,0,0,0
RPLP2,0,0,3,0,0,0,0,0,0,0,0
RPN1,0,0,5,0,0,0,0,0,0,0,0
RPN2,0,0,3,0,0,0,0,0,0,0,0
RPS11,0,0,2,0,0,0,0,0,0,0,2
RPS12,0,0,7,0,0,0,0,0,0,0,0
RPS13,0,0,27,0,0,0,3,0,0,0,4
RPS14,0,0,11,0,0,2,4,0,0,0,8
RPS15,0,0,5,0,0,0,0,0,0,0,0
RPS16,0,0,18,0,0,0,0,0,0,0,0
RPS18,0,0,51,0,0,5,5,0,0,0,8
RPS19,0,0,15,0,0,0,0,0,0,0,5
RPS2,0,0,45,0,0,0,22,0,0,8,10
RPS20,0,0,16,0,0,0,0,0,0,0,3
RPS23,0,0,5,0,0,0,0,0,0,0,0
RPS24,0,0,0,0,0,0,0,0,0,0,4
RPS25,0,0,23,0,0,0,4,0,0,0,3
RPS27AP5,15,9,70,0,23,24,36,9,6,16,55
RPS28,0,0,6,0,0,0,0,0,0,0,0
RPS3,0,0,42,0,0,0,8,0,0,0,18
RPS3A,0,0,32,0,0,0,10,0,0,3,9
RPS4X,0,0,19,0,0,0,0,0,0,0,4
RPS5,0,0,13,0,0,0,3,0,0,0,7
RPS6,0,0,6,0,0,0,4,0,0,0,5
RPS7,0,0,10,0,0,3,0,0,0,0,5
RPS8,0,0,17,0,0,0,6,0,0,0,7
RPS9,0,0,11,0,0,0,5,0,0,0,0
RPTN,0,0,0,0,0,0,12,0,0,0,17
RTN3,0,0,3,0,0,0,1,0,0,0,0
S100A10,0,0,16,0,0,4,6,0,0,0,0
S100A11,3,4,29,0,8,15,35,3,0,0,21
S100A12,2,0,5,0,8,2,18,6,0,0,7
S100A14,0,0,7,0,0,0,3,0,0,0,0
S100A16,0,7,19,0,7,5,15,0,0,7,7
S100A2,0,0,12,0,0,0,5,0,0,0,3
S100A4,0,0,5,0,0,0,17,0,0,0,4
S100A6,0,4,7,0,5,4,4,2,0,6,4
S100A7,0,0,16,0,0,17,9,0,0,21,64
S100A8,31,37,261,16,80,100,194,26,24,42,147
S100A9,69,158,810,25,153,363,684,89,44,142,611
S100P,0,0,3,0,0,0,10,0,0,0,0
SAA1,0,0,0,0,1,0,0,0,1,0,0
SAA2,4,0,0,11,11,0,0,2,11,5,0
SAMD9,0,0,2,0,0,0,0,0,0,0,0
SARG,0,0,0,0,0,0,2,0,0,0,0
SBSN,12,30,49,8,21,22,23,22,13,37,47
SCEL,0,0,106,0,0,11,58,0,0,0,16
SDF4,3,0,0,0,0,0,0,0,5,0,0
SEC11A,0,0,3,0,0,0,0,0,0,0,0
SEPTIN7,0,0,0,0,0,0,0,0,0,0,3
SERBP1,0,5,7,0,0,4,6,0,0,3,6
SERPINA1,47,59,226,27,51,60,191,38,23,107,65
SERPINA3,8,3,42,0,14,3,21,0,0,8,0
SERPINB1,11,24,192,0,39,41,84,13,13,26,61
SERPINB13,0,10,78,0,6,0,2,0,0,15,2
SERPINB3,0,8,96,0,35,10,20,29,0,18,19
SERPINB5,0,10,39,0,0,8,5,0,0,8,10
SERPINB6,0,2,13,0,0,7,4,0,0,0,7
SERPINC1,0,7,28,0,3,6,26,3,0,2,8
SERPIND1,0,0,4,0,0,0,0,0,0,0,0
SERPING1,0,2,14,0,0,0,2,0,0,3,0
SFN,5,20,162,4,28,19,38,8,2,17,55
SFPQ,0,0,5,0,0,0,9,0,0,0,4
SFRP1,10,15,2,13,27,3,0,5,41,4,0
SH3BGRL,0,0,0,0,0,2,3,0,0,0,0
SIL1,3,0,0,0,2,0,0,0,5,0,0
SIRPA,0,4,8,0,0,0,11,0,0,0,0
SLC25A3,0,0,11,0,0,0,3,0,0,0,5
SLC25A5,0,1,48,0,1,0,4,0,0,0,12
SLC25A6,0,0,2,0,0,0,0,0,0,0,0
SLC2A3,0,0,0,0,0,0,3,0,0,0,0
SLC38A10,0,0,0,0,0,0,0,0,3,4,0
SLK,0,0,0,0,0,0,0,0,0,0,1
SLPI,192,105,125,154,299,82,223,194,210,153,89
SLURP2,0,0,7,0,0,0,0,0,0,3,5
SMR3B,0,0,0,0,0,0,10,0,10,0,0
SOD1,0,0,8,0,0,3,4,0,0,0,15
SOD2,0,0,4,0,0,3,4,0,0,0,12
SORD,0,0,2,0,0,0,0,0,0,0,0
SPARCL1,74,18,8,76,222,10,72,90,250,34,0
SPCS2,0,0,5,0,0,0,0,0,0,0,0
SPINK5,0,9,30,2,0,10,4,14,0,11,10
SPINT1,0,0,3,0,0,0,0,0,0,0,0
SPIRE2,14,0,0,0,15,0,0,0,0,0,0
SPRR1A,0,12,26,3,11,43,52,7,0,36,93
SPRR1B,0,0,0,0,0,0,3,0,0,0,3
SPRR2A,0,0,0,0,0,1,6,0,0,0,8
SPRR2D,0,0,0,0,0,5,23,0,0,0,27
SPRR2F,0,0,26,0,0,38,160,0,0,0,184
SPRR3,29,38,89,16,52,70,136,19,10,80,105
SPTAN1,0,0,19,0,0,0,0,0,0,0,0
SPTBN1,0,0,0,0,0,0,2,0,0,0,0
SPTBN2,0,0,0,0,0,0,0,0,0,0,1
SPTBN4,0,0,2,0,0,0,0,0,0,0,0
SQOR,0,0,22,0,0,0,0,0,0,0,0
ST13P4,0,0,0,0,0,0,5,0,0,0,11
STATH,14,8,0,7,14,15,23,35,12,18,0
STIP1,0,0,2,0,0,0,0,0,0,0,2
STK10,0,0,0,0,0,0,3,0,0,0,0
STMN1,0,0,2,0,2,0,14,0,0,0,1
STOM,0,3,10,0,0,0,24,0,0,0,3
SULT2B1,0,0,15,0,0,0,0,0,0,0,0
SYNCRIP,0,0,3,0,0,0,0,0,0,0,0
SYNGR2,0,0,6,0,0,0,0,0,0,0,0
TACSTD2,0,0,9,0,4,3,0,0,0,0,2
TAF1B,0,3,0,0,0,0,0,0,0,0,0
TAGLN2,0,0,7,0,0,0,0,0,0,0,10
TALDO1,3,12,71,0,11,6,20,6,0,12,10
TARS1,0,0,8,0,0,0,0,0,0,0,0
TBCA,0,0,2,0,0,0,0,0,0,0,0
TCN1,89,90,62,79,93,24,44,55,100,129,29
TF,119,222,635,63,260,243,480,171,84,380,236
TGM1,2,10,101,0,0,19,23,0,0,14,30
TGM3,20,65,311,4,76,71,103,22,11,81,119
THBS1,16,10,7,3,44,7,20,36,32,11,4
TIMP1,22,31,26,27,50,14,46,23,27,36,13
TKT,19,33,114,3,40,80,228,15,0,24,95
TLN1,6,0,9,0,8,0,3,10,2,2,6
TMED9,0,0,3,0,0,0,0,0,0,0,0
TMEM189-UBE2V1,0,0,6,0,0,0,0,0,0,0,0
TMOD3,0,0,6,0,0,0,0,0,0,0,0
TMPRSS11A,0,0,2,0,0,0,0,0,0,0,0
TMPRSS11B,4,7,63,0,4,8,0,0,0,12,5
TMPRSS11D,0,4,29,0,0,5,0,0,0,4,5
TMPRSS11E,0,0,17,0,4,0,0,0,0,0,3
TMSB4X,0,0,18,0,0,4,9,0,0,0,10
TNFSF13,0,0,0,0,3,0,0,0,0,0,0
TNS2,0,0,0,0,0,0,0,0,0,2,0
TOLLIP,0,0,3,0,0,0,0,0,0,0,0
TOP1,0,0,0,0,0,0,2,0,0,0,0
TPI1,11,55,128,7,25,32,94,21,10,45,47
TPM3,0,8,118,0,11,24,57,3,0,0,43
TPM4,0,0,0,0,0,0,0,0,0,0,1
TPT1,0,0,17,0,0,2,0,0,0,0,4
TRIM29,0,0,54,0,0,5,15,0,0,0,19
TRIP10,0,0,3,0,0,0,0,0,0,0,0
TSPAN1,0,0,0,0,0,0,0,0,0,3,0
TSPO,0,0,8,0,0,3,0,0,0,0,2
TST,0,0,3,0,0,0,0,0,0,0,0
TTN,0,0,9,0,0,0,2,0,0,2,0
TTR,6,19,33,0,11,24,30,5,10,15,17
TUBA4A,0,11,75,0,0,29,43,0,0,0,35
TUBB4A,0,0,0,0,0,3,0,0,0,0,0
TUBB4B,0,0,4,0,0,0,1,0,0,0,0
TUBB6,0,0,58,0,2,13,35,0,0,0,18
TUFM,0,0,5,0,0,0,0,0,0,0,0
TXN,20,33,119,14,28,38,56,25,11,25,49
TXNDC5,0,0,2,0,0,0,0,0,0,0,0
UBA1,0,0,12,0,0,0,6,0,0,0,0
UBE2D2,0,0,3,0,0,0,0,0,0,0,0
UBE2L3,0,0,0,0,0,0,4,0,0,0,0
UBE2N,0,2,1,0,0,0,0,0,0,0,0
UBE2NL,0,0,4,0,0,0,0,0,0,0,0
UBE2V2,0,0,1,0,0,0,0,0,0,0,0
UGP2,0,0,20,0,0,0,0,0,0,0,4
ULBP2,0,0,2,0,0,0,0,0,0,0,0
UQCRC1,0,0,4,0,0,0,0,0,0,0,0
UQCRC2,0,0,6,0,0,0,0,0,0,0,0
USP14,0,0,5,0,0,0,0,0,0,0,0
VASP,0,0,7,0,0,9,2,0,0,0,0
VAT1,0,0,11,0,0,0,4,0,0,0,0
VCL,0,0,11,0,4,0,9,0,0,0,0
VCP,0,0,64,0,0,7,13,0,0,4,12
VDAC1,0,0,12,0,0,0,0,0,0,0,0
VDAC2,0,0,59,0,0,4,0,0,0,0,3
VDAC3,0,0,3,0,0,0,0,0,0,0,0
VPS35,0,0,5,0,0,0,0,0,0,0,2
VPS4B,0,0,6,0,0,0,0,0,0,0,0
VSIG10L,0,0,2,3,2,0,0,0,0,2,0
VTN,6,0,16,0,4,4,14,0,2,2,7
WARS1,0,0,0,0,0,0,2,0,0,0,0
WDR1,0,0,31,0,3,0,28,3,0,0,10
WFDC2,28,31,14,17,35,4,13,38,0,41,7
XDH,0,0,0,0,0,0,0,3,0,0,0
YBX3,0,0,0,0,0,0,0,0,0,0,2
YWHAB,3,5,36,0,4,10,15,2,0,6,19
YWHAE,0,2,24,0,0,0,0,0,0,2,2
YWHAG,0,0,4,0,0,0,2,0,0,0,1
YWHAH,0,0,0,0,0,0,0,0,0,1,0
YWHAQ,0,0,6,0,0,0,2,0,0,0,3
YWHAZ,8,43,114,8,54,46,61,25,19,39,72
ZDHHC5,0,0,3,0,0,0,0,0,0,0,0
ZG16B,373,175,347,329,760,164,315,306,341,252,156
ZNF185,0,0,0,0,0,0,12,0,0,0,0
